DatasetName,DataType,PPCFState,SolutionName,CompetingTime,TotalTaskSize,TotalWorkerSize,TotalUnServedTaskSize,TotalAllocatedWorkerSize,TotalUtility,TotalWinnerUtility,TotalFailureUtility,RealTravelDistance,ProposalSize,TaskValue,WorkerRange
ChengduDiDi,0,false,UtilityConflictNonPrivacySolution,730,1286,2572,0,1286,38184.37403120872,38184.37403120872,0.0,3956.259687912799,2147483647,30.0,30.0
ChengduDiDi,0,false,DistanceConflictNonPrivacySolution,760,1286,2572,0,1286,38184.37403120872,38184.37403120872,0.0,3956.259687912799,2147483647,30.0,30.0
ChengduDiDi,0,false,GameNonPrivacySolution,544,1286,2572,0,1286,38207.53325813745,38207.53325813745,0.0,3724.6674186252562,0,30.0,30.0
ChengduDiDi,0,false,GreedyNonPrivacySolution,4,1286,2572,0,1286,38215.94299765203,38215.94299765203,0.0,3640.5700234790065,0,30.0,30.0
ChengduDiDi,0,false,UtilityConflictPrivacySolution,5102,1286,2572,0,1286,38245.132092963104,38247.276092963104,-2.144000000000002,5947.259070368637,2147483647,30.5,30.0
ChengduDiDi,0,true,UtilityConflictPrivacySolution,5454,1286,2572,0,1286,38245.84676242559,38247.29476242559,-1.4480000000000004,5945.15237574374,2147483647,30.5,30.0
ChengduDiDi,0,false,DistanceConflictPrivacySolution,5879,1286,2572,0,1286,38066.60564732139,38087.74564732139,-21.140000000000004,5673.8635267866175,2147483647,30.5,30.0
ChengduDiDi,0,true,DistanceConflictPrivacySolution,5351,1286,2572,0,1286,38098.04194796792,38104.23394796792,-6.192000000000007,5678.140520321193,2147483647,30.5,30.0
ChengduDiDi,0,false,GamePrivacySolution,2195,1286,2572,0,1286,38376.63185405079,38550.533854050795,-173.9020000000001,4701.2660418487885,0,30.5,30.0
ChengduDiDi,0,false,UtilityConflictNonPrivacySolution,809,1286,2572,0,1286,38827.37403120871,38827.37403120871,0.0,3956.259687912799,2147483647,30.5,30.0
ChengduDiDi,0,false,DistanceConflictNonPrivacySolution,688,1286,2572,0,1286,38827.37403120871,38827.37403120871,0.0,3956.259687912799,2147483647,30.5,30.0
ChengduDiDi,0,false,GameNonPrivacySolution,468,1286,2572,0,1286,38850.53325813746,38850.53325813746,0.0,3724.6674186252562,0,30.5,30.0
ChengduDiDi,0,false,GreedyNonPrivacySolution,1,1286,2572,0,1286,38858.94299765203,38858.94299765203,0.0,3640.5700234790065,0,30.5,30.0
